capitalization,earnings,taxes,sector,name,alias,symbol,taxRate
19950,3144,704,Set Up My Loan,"Intuitive Surgical, Inc.",,ISRG,22.391857506361323
12681,4860,1242,Move On,Invesco Ltd.,,IVZ,25.555555555555557
6929,1779,681,Vehicle Resolution,Iron Mountain Inc.,,IRM,38.27993254637437
3488,5180,1731,Outside Sales,"J. C. Penney Company, Inc.",,JCP,33.41698841698842
7036,3233,1106,Vehicle Resolution,Jacobs Engineering Group Inc.,,JEC,34.2097123414785
226868,89050,18449,Keep Payments Simple,Johnson & Johnson,,JNJ,20.717574396406512
22781,7501,2364,Help Me Catch Up,Johnson Controls Inc.,,JCI,31.515797893614184
6036,4339,918,Vehicle Resolution,"Joy Global, Inc.",,JOY,21.15694860566951
184773,122170,35136,Move On,JPMorgan Chase & Co.,,JPM,28.759924695096995
9083,3193,618,Keep Me In My Car,"Juniper Networks, Inc.",,JNPR,19.35483870967742
23301,9159,2554,Help Me Catch Up,Kellogg Company,,K,27.885140299159296
38468,15354,3472,Help Me Catch Up,Kimberly-Clark Corporation,,KMB,22.612999869740783
9395,1114,57,Move On,Kimco Realty Corporation,,KIM,5.11669658886894
8638,3010,705,Keep Me In My Car,KLA-Tencor Corporation,,KLAC,23.421926910299003
10661,10100,3456,Outside Sales,Kohl's Corp.,,KSS,34.21782178217822
13513,5780,1978,Outside Sales,"L Brands, Inc.",,LTD,34.221453287197235
7381,7568,1796,Vehicle Resolution,L-3 Communications Holdings Inc.,,LLL,23.731501057082454
8635,5199,1759,Set Up My Loan,Laboratory Corp. of America Holdings,,LH,33.83342950567417
6697,2597,277,Keep Me In My Car,Lam Research Corporation,,LRCX,10.666153253754333
4053,-709,-264,Move On,Legg Mason Inc.,,LM,37.23554301833568
4745,1304,403,Help Me Catch Up,"Leggett & Platt, Incorporated",,LEG,30.904907975460123
7494,-3990,-1207,Help Me Catch Up,Lennar Corp.,,LEN,30.25062656641604
10167,1835,96,Move On,Leucadia National Corporation,,LUK,5.231607629427793
8472,4223,387,Navigate My Account,Lincoln National Corporation,,LNC,9.16410134975136
8342,3198,767,Keep Me In My Car,Linear Technology Corporation,,LLTC,23.983739837398375
30435,24657,5769,Vehicle Resolution,Lockheed Martin Corporation,,LMT,23.397006935150262
17171,12038,2668,Navigate My Account,Loews Corporation,,L,22.163150024921084
15598,9469,3563,Help Me Catch Up,"Lorillard, Inc.",,LO,37.62804942443764
42430,21974,8555,Outside Sales,Lowe's Companies Inc.,,LOW,38.932374624556296
33833,4861,1423,Inside Sales,LyondellBasell Industries NV,,LYB,29.273811972845092
13014,6093,1586,Move On,M&T Bank Corporation,,MTB,26.029870343016576
27580,15976,1860,Close My Account,Marathon Petroleum Corporation,,MPC,11.642463695543315
12948,3169,776,Help Me Catch Up,"Marriott International, Inc.",,MAR,24.487219943199747
20532,5770,2037,Navigate My Account,"Marsh & McLennan Companies, Inc.",,MMC,35.303292894280766
65605,12941,3986,Keep Me In My Car,Mastercard Incorporated,,MA,30.801329109033304
14805,4614,905,Help Me Catch Up,"Mattel, Inc.",,MAT,19.614217598612917
9375,2664,612,Help Me Catch Up,"McCormick & Company, Incorporated",,MKC,22.972972972972972
101783,39309,10627,Help Me Catch Up,McDonald's Corp.,,MCD,27.034521356432368
24905,9236,1114,Set Up My Loan,McKesson Corporation,,MCK,12.061498484192292
15517,4064,1242,Help Me Catch Up,Mead Johnson Nutrition Company,,MJN,30.561023622047244
6419,1680,247,Inside Sales,MeadWestvaco Corporation,,MWV,14.702380952380953
47020,20448,4038,Set Up My Loan,"Medtronic, Inc.",,MDT,19.747652582159624
137457,46439,12893,Keep Payments Simple,Merck & Co. Inc.,,MRK,27.763302396692435
39913,20831,3759,Navigate My Account,"MetLife, Inc.",,MET,18.045221064759254
4115,2166,20,Manage My Leads,"MetroPCS Communications, Inc.",,PCS,0.9233610341643582
6974,2061,154,Keep Me In My Car,Microchip Technology Inc.,,MCHP,7.472100921882581
239477,139087,30100,Keep Me In My Car,Microsoft Corporation,,MSFT,21.64113109061235
4604,1312,464,Keep Me In My Car,Molex Incorporated,,MOLX,35.36585365853659
9170,3918,336,Help Me Catch Up,Molson Coors Brewing Company,,TAP,8.575803981623277
56160,14024,3305,Inside Sales,Monsanto Company,,MON,23.566742726754136
8610,2105,832,Help Me Catch Up,Monster Beverage Corporation,,MNST,39.524940617577194
11803,5076,1653,Move On,Moody's Corp.,,MCO,32.565011820330966
42628,16718,6803,Move On,Morgan Stanley,,MS,40.69266658691231
12145,9684,3271,Close My Account,Murphy Oil Corporation,,MUR,33.77736472532012
4595,2885,920,Close My Account,Nabors Industries Ltd.,,NBR,31.889081455805893
28939,16022,5961,Close My Account,"National Oilwell Varco, Inc.",,NOV,37.20509299712895
12229,2704,177,Keep Me In My Car,"NetApp, Inc.",,NTAP,6.545857988165681
9130,1092,279,Outside Sales,"Netflix, Inc.",,NFLX,25.54945054945055
7234,2077,481,Help Me Catch Up,Newell Rubbermaid Inc.,,NWL,23.158401540683677
19378,12721,5532,Inside Sales,Newmont Mining Corporation,,NEM,43.48714723685245
73032,16800,6919,Help Me Catch Up,News Corp.,,NWSA,41.18452380952381
33946,13255,61,Fund My Deal,"NextEra Close My Account, Inc.",,NEE,0.46020369671821953
