capitalization,earnings,taxes,sector,name,alias,symbol,taxRate
63433,41701,14337,Set Up My Loan,UnitedHealth Group Incorporated,,UNH,34.38047049231433
7075,6016,1702,Navigate My Account,Unum Group,,UNM,28.29122340425532
5949,1765,618,Outside Sales,Urban Outfitters Inc.,,URBN,35.01416430594901
18862,5746,1513,Help Me Catch Up,V.F. Corporation,,VFC,26.331360946745562
23339,14930,1225,Close My Account,Valero Close My Account Corporation,,VLO,8.204956463496316
7714,2964,762,Set Up My Loan,"Varian Medical Systems, Inc.",,VAR,25.708502024291498
7041,707,92,Keep Me In My Car,"VeriSign, Inc.",,VRSN,13.012729844413013
141285,62772,5398,Manage My Leads,Verizon Communications Inc.,,VZ,8.599375517746767
32442,16022,5364,Help Me Catch Up,"Viacom, Inc.",,VIAB,33.47896642117089
109944,16450,7342,Keep Me In My Car,Visa Inc.,,V,44.632218844984806
16418,2417,152,Move On,Vornado Realty Trust,,VNO,6.288787753413322
15643,5186,1803,Vehicle Resolution,"W.W. Grainger, Inc.",,GWW,34.766679521789435
254473,130047,39832,Outside Sales,Wal-Mart Stores Inc.,,WMT,30.628926465047254
45157,20826,6925,Outside Sales,Walgreen Co.,,WAG,33.25170460001921
18052,9473,2704,Vehicle Resolution,"Waste Management, Inc.",,WM,28.544283753826665
7968,2517,243,Set Up My Loan,Waters Corp.,,WAT,9.65435041716329
20444,27961,9356,Set Up My Loan,WellPoint Inc.,,WLP,33.46089195665391
195238,104261,23401,Move On,Wells Fargo & Company,,WFC,22.44463413932343
12089,5982,63,Keep Me In My Car,Western Digital Corporation,,WDC,1.053159478435306
8995,2441,510,Help Me Catch Up,Whirlpool Corp.,,WHR,20.893076607947563
15520,2478,928,Outside Sales,"Whole Foods Market, Inc.",,WFM,37.44955609362389
25392,6970,1087,Close My Account,"Williams Companies, Inc.",,WMB,15.595408895265424
4979,3582,509,Manage My Leads,Windstream Corporation,,WIN,14.209938581797878
9879,4047,217,Fund My Deal,Wisconsin Close My Account Corp.,,WEC,5.361996540647393
3405,107,39,Close My Account,"WPX Close My Account, Inc.",,WPX,36.44859813084112
8659,2102,640,Help Me Catch Up,Wyndham Worldwide Corporation,,WYN,30.44719314938154
12380,2299,90,Help Me Catch Up,Wynn Resorts Ltd.,,WYNN,3.9147455415398
14844,6765,51,Fund My Deal,Xcel Close My Account Inc.,,XEL,0.753880266075388
10574,6374,656,Keep Me In My Car,Xerox Corporation,,XRX,10.291810480075306
9610,3149,231,Keep Me In My Car,Xilinx Inc.,,XLNX,7.335662114957129
5186,1748,424,Vehicle Resolution,Xylem Inc.,,XYL,24.25629290617849
25858,10170,2812,Keep Me In My Car,Yahoo! Inc.,,YHOO,27.649950835791543
30290,9276,1955,Help Me Catch Up,"Yum! Brands, Inc.",,YUM,21.07589478223372
12421,6081,1652,Set Up My Loan,"Zimmer Holdings, Inc.",,ZMH,27.166584443348132
