country,gdp_start,happiness_start,gdp_end,happiness_end,population,gdp_pc_end,gdp_pc_start
Slovenia,10.25376892,5.811264515,10.352803549999999,6.117692788333333,2100126,31344.796455381416,28389.33768415716
South Africa,9.363958041,5.211582660666667,9.414978027333333,4.722438971333333,59308690,12270.803584053094,11660.44986425179
Spain,10.441345215,7.144543647500001,10.440537769999999,6.3540520670000005,47351567,34219.04946899323,34246.69062724752
Sri Lanka,8.898441632666666,4.396754105666666,9.38254261,4.3655843735,21919000,11879.180511216044,7320.556529361777
Sweden,10.686425685,7.378679991,10.757476173333332,7.343447049333334,10353442,46979.949032385346,43757.82290244303
Switzerland,10.90654278,7.473252773,10.964032173333331,7.480233351666667,8636896,57758.86790161487,54531.98994942503
Tajikistan,7.542774041333334,4.702898184333333,7.947661399999999,5.4664776325,9537642,2828.9514228049316,1887.0575467630133
Tanzania,7.5625693,4.208391904666667,7.893550078,3.231626272333333,59734213,2679.9410526951497,1924.784514622037
Thailand,9.430192629666665,5.7685983976666675,9.698054949333335,6.0080323223333325,69799978,16285.899471819974,12458.926459322483
Togo,7.0818412305,3.005142212,7.262893835666667,4.087426106,8278737,1426.3782748349852,1190.157857298577
Trinidad and Tobago,10.33673525,6.2643163205,10.26684761,6.191859722,1399491,28763.071679247787,30845.163736683447
Turkey,9.790829182,5.370851755,10.11877314,5.373057842333334,84339067,24804.320730945456,17869.116776464758
Uganda,7.2237078346666665,4.252680619333334,7.442166328333333,4.185164292333334,45741000,1706.4429355712066,1371.5651811112054
Ukraine,9.029525756666667,5.0761720336666665,8.976917902666667,4.333888848333333,44134693,7918.189836330331,8345.900645760976
United Arab Emirates,11.38607311,6.734221935,11.122475306666667,6.824704488000001,9890400,67675.21603140813,88086.3718146521
United Kingdom,10.54909897,6.894197225499999,10.588870366666667,7.053667386666667,67215293,39690.62793607369,38143.05478717936
United States,10.83297221,7.324955781333333,10.90297508,6.892681280666667,329484123,54337.78281128258,50664.06747454924
Uruguay,9.571875890333333,5.714561303666667,9.932834943000001,6.293069998333333,3473727,20595.645377705405,14355.320088174214
Uzbekistan,8.162642002,5.2718453405000005,8.740060170333333,6.173148950000001,34232050,6248.271661534406,3507.441039502582
Vietnam,8.246285756333334,5.398590882666667,8.727751731666666,5.177697658666666,97338583,6171.83655639342,3813.435456025409
Zambia,7.917040665999999,4.517670392666666,8.213402748,4.107269764000001,18383956,3690.077531276925,2743.6396737712384
Zimbabwe,7.261052926333332,3.4269262953333333,7.54723835,3.663393418,14862927,1895.5007867153258,1423.7548572338346
